#period	period time	calc time
431	1498	1000
432	1745	1005
433	1752	747
434	1500	746
435	1496	1001
436	1499	750
437	1748	751
438	1749	749
439	1499	751
440	1498	1001
441	1499	752
442	1749	750
443	1500	748
444	1747	750
445	1499	1000
446	1498	1001
447	1748	752
448	1500	750
449	1498	1001
450	1749	1001
451	1499	1001
452	1750	999
453	1747	750
454	1250	1000
455	1747	750
456	1498	1001
457	1749	1000
458	1749	750
459	1498	751
460	1499	1000
461	1500	999
462	1747	750
463	1749	750
464	1498	751
465	1499	1005
466	1500	1000
467	1749	751
468	1498	751
469	1749	750
470	1500	999
471	1497	1001
472	1749	751
473	1499	750
474	1498	1002
475	1749	1000
476	1748	751
477	1499	1000
478	1499	750
479	1499	999
480	1748	750
481	1499	1000
482	1748	1000
483	1746	755
484	1499	753
485	1498	754
486	1498	754
487	1500	1003
488	1751	753
489	1498	1000
490	1749	753
491	1505	744
492	1494	1005
493	1495	1011
494	1752	1000
495	1750	749
496	1498	750
497	1500	748
498	1498	998
499	1746	755
500	1500	1000
501	1749	751
502	1498	1000
503	1499	1000
504	1748	751
505	1498	754
506	1501	999
507	1747	1000
508	1498	1001
509	1749	751
510	1499	752
511	1499	1000
512	1498	1000
513	1749	1000
514	1748	750
515	1250	999
516	1748	1000
517	1498	751
518	1748	751
519	1499	1252
520	1748	751
521	1749	750
522	1498	751
523	1499	751
524	1500	999
525	1498	1000
526	1749	999
527	1748	1250
528	2248	752
529	1499	750
530	1498	1002
531	1499	1249
532	1748	1000
533	1751	998
534	1496	750
535	1748	751
536	1498	1000
537	1749	1002
538	1748	1001
539	1749	750
540	1495	753
541	1498	1004
542	1500	1002
543	1750	1000
544	1746	754
545	1499	753
546	1502	992
547	1748	751
548	1499	748
549	1498	1000
550	1750	749
551	1500	999
552	1497	1001
553	1748	1001
554	1748	1000
555	1749	752
556	1499	1000
557	1750	999
558	1498	750
559	1748	752
560	1501	748
561	1497	751
562	1748	1000
563	1498	1000
564	1749	752
565	1499	747
566	1498	1000
567	1748	751
568	1499	1001
569	1750	749
570	1497	751
571	1499	1000
572	1748	750
573	1499	751
574	1498	1000
575	1748	750
576	1499	1000
577	1749	751
578	1500	749
579	1497	1001
580	1499	1000
581	1749	1000
582	1748	752
583	1499	751
584	1498	1000
585	1499	1000
586	1748	750
587	1750	999
588	1497	1000
589	1748	751
590	1500	750
591	1499	1001
592	1748	751
593	1498	1001
594	1749	750
595	1748	501
596	1250	995
597	1747	746
598	1499	747
599	1498	1000
600	1749	752
601	1499	1001
602	1748	749
603	1499	751
604	1499	1000
605	1501	999
606	1745	1006
607	1751	751
608	1499	749
609	1499	1001
610	1499	1000
611	1749	750
612	1748	1001
613	1498	1000
614	1750	749
615	1500	748
616	1498	998
617	1747	751
618	1499	1001
619	1752	747
620	1495	749
621	1498	1001
622	1749	751
623	1500	749
624	1497	1250
625	1999	750
626	1498	750
627	1499	1003
628	1500	989
629	1738	750
630	1509	750
631	1748	751
632	1500	1000
633	1497	1001
634	1749	750
635	1499	750
636	1498	1002
637	1749	1001
638	1499	1000
639	1748	751
640	1750	500
641	1250	999
642	1747	751
643	1499	1001
644	1748	1001
645	1749	752
646	1498	750
647	1499	1000
648	1498	1000
649	1749	1001
650	1751	749
651	1497	750
652	1495	1005
653	1499	1004
654	1752	1002
655	1747	500
656	1500	750
657	1749	751
658	1499	750
659	1500	999
660	1745	752
661	1497	754
662	1752	751
663	1499	748
664	1499	1001
665	1747	752
666	1500	750
667	1500	1000
668	1500	998
669	1745	1001
670	1750	749
671	1498	750
672	1499	1002
673	1498	1001
674	1748	1001
675	1752	747
676	1495	751
677	1500	1000
678	1498	1000
679	1748	751
680	1500	750
681	1747	752
682	1499	1001
683	1499	999
684	1748	750
685	1499	750
686	1499	999
687	1747	1001
688	1490	1000
689	1758	1000
690	1748	502
691	1249	1000
692	1748	751
693	1499	1000
694	1749	1000
695	1749	749
696	1497	750
697	1498	1001
698	1499	1000
699	1749	1002
700	1749	751
701	1498	751
702	1499	1001
703	1499	1000
704	1751	999
705	1497	750
706	1748	751
707	1499	1000
708	1498	1001
709	1745	754
710	1499	754
711	1500	1002
712	1749	1001
713	1747	752
714	1500	1001
715	1749	749
716	1498	749
717	1499	748
718	1499	1001
719	1746	1003
720	1751	751
721	1499	747
722	1499	990
723	1507	993
724	1741	749
725	1747	751
726	1498	753
727	1499	1001
728	1499	1001
729	1752	747
730	1496	748
731	1748	749
732	1498	1000
733	1494	1001
734	1748	751
735	1505	751
736	1497	1001
737	1749	1001
738	1748	751
739	1499	1001
740	1751	749
741	1247	1000
742	1748	751
743	1500	1499
744	1997	1002
745	1749	1000
746	1498	750
747	1498	1001
748	1749	750
749	1500	999
750	1747	1000
751	1749	750
752	1499	751
753	1498	1002
754	1499	1000
755	1748	751
756	1748	750
757	1499	751
758	1501	999
759	1496	1001
760	1749	1000
761	1499	751
762	1749	752
763	1499	1000
764	1494	1004
765	1753	1000
766	1499	751
767	1500	1000
768	1745	1003
769	1751	749
770	1499	1000
771	1498	1001
772	1746	753
773	1502	750
774	1495	1006
775	1751	1000
776	1748	751
777	1499	752
778	1502	748
779	1497	1000
